model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation
Panel FE (усл. Пуассон);Движение по выделенной полосе;MAY;post;0.3285;1.3889;0.02385;"[1.325; 1.455]";1.3255;1.4553;0.0;2628;внутриклиентский эффект, IRR=1.389, клиентов 657
Panel FE (усл. Пуассон);Движение по выделенной полосе;JUN;post;-0.01661;0.9835;0.07279;"[0.853; 1.134]";0.8528;1.1343;0.81947;2628;внутриклиентский эффект, IRR=0.984, клиентов 657
Panel FE (усл. Пуассон);Телефон за рулём;MAY;post;0.51457;1.6729;0.01925;"[1.611; 1.737]";1.611;1.7372;0.0;3028;внутриклиентский эффект, IRR=1.673, клиентов 757
Panel FE (усл. Пуассон);Телефон за рулём;JUN;post;0.09337;1.0979;0.06341;"[0.970; 1.243]";0.9696;1.2432;0.14085;3028;внутриклиентский эффект, IRR=1.098, клиентов 757
Panel FE (усл. Пуассон);[K] Превышение 20-40 км/ч;MAY;post;0.26308;1.3009;0.00425;"[1.290; 1.312]";1.2901;1.3118;0.0;46660;внутриклиентский эффект, IRR=1.301, клиентов 11665
Panel FE (усл. Пуассон);[K] Превышение 20-40 км/ч;JUN;post;0.05561;1.0572;0.01177;"[1.033; 1.082]";1.0331;1.0818;0.0;46660;внутриклиентский эффект, IRR=1.057, клиентов 11665
Panel FE (усл. Пуассон);[K] Ремень безопасности;MAY;post;1.00953;2.7443;0.01073;"[2.687; 2.803]";2.6872;2.8026;0.0;5916;внутриклиентский эффект, IRR=2.744, клиентов 1479
Panel FE (усл. Пуассон);[K] Ремень безопасности;JUN;post;-0.02755;0.9728;0.05243;"[0.878; 1.078]";0.8778;1.0781;0.5993;5916;внутриклиентский эффект, IRR=0.973, клиентов 1479
Panel FE (усл. Пуассон);[K] Платная дорога;MAY;post;-0.13242;0.876;0.04736;"[0.798; 0.961]";0.7983;0.9612;0.00517;948;внутриклиентский эффект, IRR=0.876, клиентов 237
Panel FE (усл. Пуассон);[K] Платная дорога;JUN;post;0.74894;2.1148;0.11276;"[1.695; 2.638]";1.6954;2.6378;0.0;948;внутриклиентский эффект, IRR=2.115, клиентов 237
Panel FE (усл. Пуассон);[K] Световые приборы;MAY;post;1.1987;3.3158;0.03579;"[3.091; 3.557]";3.0912;3.5567;0.0;572;внутриклиентский эффект, IRR=3.316, клиентов 143
Panel FE (усл. Пуассон);[K] Световые приборы;JUN;post;0.41985;1.5217;0.11865;"[1.206; 1.920]";1.206;1.9202;0.0004;572;внутриклиентский эффект, IRR=1.522, клиентов 143
Panel FE (усл. Пуассон);Все нарушения;MAY;post;0.30476;1.3563;0.00376;"[1.346; 1.366]";1.3463;1.3663;0.0;52056;внутриклиентский эффект, IRR=1.356, клиентов 13014
Panel FE (усл. Пуассон);Все нарушения;JUN;post;0.04748;1.0486;0.01069;"[1.027; 1.071]";1.0269;1.0708;1e-05;52056;внутриклиентский эффект, IRR=1.049, клиентов 13014
DiD (FE клиента);COMPOSITE-6 (гипотеза);MAY;treated×post;-0.02876;0.9716;0.02846;"[0.919; 1.027]";0.9189;1.0274;0.3121;6892;дополнительный эффект у связанных лимитом, IRR=0.972
DiD (FE клиента);Манёвренные-5 (без телефона);MAY;treated×post;0.00578;1.0058;0.03256;"[0.944; 1.072]";0.9436;1.0721;0.85906;5944;дополнительный эффект у связанных лимитом, IRR=1.006
DiD (FE клиента);Нарушение разметки;MAY;treated×post;0.05344;1.0549;0.04142;"[0.973; 1.144]";0.9726;1.1441;0.19692;3304;дополнительный эффект у связанных лимитом, IRR=1.055
DiD (FE клиента);Остановка/стоянка в неположенном месте;MAY;treated×post;-0.00118;0.9988;0.12414;"[0.783; 1.274]";0.7831;1.274;0.9924;1016;дополнительный эффект у связанных лимитом, IRR=0.999
DiD (FE клиента);Пересечение стоп-линии;MAY;treated×post;0.1694;1.1846;0.07497;"[1.023; 1.372]";1.0227;1.3721;0.02384;924;дополнительный эффект у связанных лимитом, IRR=1.185
DiD (FE клиента);Движение по обочине;MAY;treated×post;0.09793;1.1029;0.16301;"[0.801; 1.518]";0.8013;1.5181;0.54803;504;дополнительный эффект у связанных лимитом, IRR=1.103
DiD (FE клиента);Движение по выделенной полосе;MAY;treated×post;-0.32507;0.7225;0.0693;"[0.631; 0.828]";0.6307;0.8276;0.0;1216;дополнительный эффект у связанных лимитом, IRR=0.722
DiD (FE клиента);Телефон за рулём;MAY;treated×post;-0.13513;0.8736;0.05968;"[0.777; 0.982]";0.7772;0.982;0.02356;1416;дополнительный эффект у связанных лимитом, IRR=0.874
DiD (FE клиента);[K] Превышение 20-40 км/ч;MAY;treated×post;-0.09763;0.907;0.01346;"[0.883; 0.931]";0.8834;0.9312;0.0;21908;дополнительный эффект у связанных лимитом, IRR=0.907
DiD (FE клиента);[K] Ремень безопасности;MAY;treated×post;-0.21388;0.8074;0.03155;"[0.759; 0.859]";0.759;0.8589;0.0;2888;дополнительный эффект у связанных лимитом, IRR=0.807
DiD (FE клиента);Все нарушения;MAY;treated×post;-0.12075;0.8863;0.01149;"[0.867; 0.906]";0.8665;0.9064;0.0;24444;дополнительный эффект у связанных лимитом, IRR=0.886
DiD (FE клиента);COMPOSITE-6 (гипотеза);JUN;treated×post;0.04751;1.0487;0.09271;"[0.874; 1.258]";0.8744;1.2576;0.60831;6892;дополнительный эффект у связанных лимитом, IRR=1.049
DiD (FE клиента);Манёвренные-5 (без телефона);JUN;treated×post;0.02131;1.0215;0.10269;"[0.835; 1.249]";0.8353;1.2493;0.83559;5944;дополнительный эффект у связанных лимитом, IRR=1.022
DiD (FE клиента);Нарушение разметки;JUN;treated×post;0.32072;1.3781;0.1519;"[1.023; 1.856]";1.0233;1.856;0.03474;3304;дополнительный эффект у связанных лимитом, IRR=1.378
DiD (FE клиента);Остановка/стоянка в неположенном месте;JUN;treated×post;-0.38103;0.6832;0.25475;"[0.415; 1.126]";0.4146;1.1256;0.13473;1016;дополнительный эффект у связанных лимитом, IRR=0.683
DiD (FE клиента);Пересечение стоп-линии;JUN;treated×post;0.19929;1.2205;0.26342;"[0.728; 2.045]";0.7283;2.0454;0.44932;924;дополнительный эффект у связанных лимитом, IRR=1.221
